TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;11,39;;-20,71;1,13;0,53;21,41;2,55;-6,71;54,40;76,94;22,54;0,47;1,39;23,46;-0,68;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;19.068.540,04;10,15;-0,55;0,03;1.361.550.312,16
ABCB4;15,26;6,09;9,49;0,79;0,07;13,55;8,97;8,56;9,06;9,06;;;0,81;1,10;-0,08;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;12.258.029,60;19,43;1,61;-0,46;3.445.613.398,32
ABEV3;17,49;2,80;21,33;3,36;2,06;52,95;27,05;20,69;16,32;15,52;-0,85;-0,17;4,41;53,19;-2,86;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;557.660.033,96;5,21;0,82;0,81;276.734.782.328,10
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;10,00;;64,04;7,74;2,76;10,82;8,71;4,61;33,90;36,77;2,87;0,66;2,95;6,49;-8,68;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;45.101.843,56;1,29;0,16;2,45;7.685.120.963,68
AESB3;13,80;1,23;;2,94;0,57;;;;;;;2,42;;10,01;-0,74;1,34;0,00;0,00;;0,19;0,81;0,00;;;11.229.933,12;4,69;0,00;;5.507.669.976,00
AFLT3;10,42;11,14;34,85;3,40;3,11;67,61;54,72;52,63;33,52;31,76;-1,76;-0,18;18,34;11,95;-4,33;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;29.073,72;3,07;0,30;-1,47;657.973.421,00
AGRO3;30,31;2,35;25,90;1,79;1,08;46,45;39,31;7,58;5,00;5,48;0,46;0,16;1,96;6,73;-1,88;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;24.761.977,12;16,91;1,17;-0,80;3.106.118.422,72
AHEB3;26,01;;-4,72;-8,87;0,79;19,18;-17,42;-25,58;-6,94;-6,55;0,50;;1,21;-3,94;-1,01;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;16.838,40;-2,93;-5,51;-0,06;225.693.756,27
AHEB5;21,51;;-3,91;-7,34;0,65;19,18;-17,42;-25,58;-5,74;-6,55;0,50;;1,00;-3,25;-0,84;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;2.151,00;-2,93;-5,51;-0,05;225.693.756,27
AHEB6;51,50;;-9,35;-17,57;1,56;19,18;-17,42;-25,58;-13,73;-6,55;0,50;;2,39;-7,79;-2,00;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;6.742,00;-2,93;-5,51;-0,11;225.693.756,27
ALLD3;37,18;;61,34;2,97;0,91;14,88;4,78;2,83;36,34;37,76;1,60;0,13;1,74;4,60;-3,45;1,37;4,84;1,48;5,79;0,31;0,69;0,52;;;17.413.839,80;12,52;0,61;;3.396.551.483,85
ALPA3;45,45;;108,90;8,69;5,51;53,23;13,11;6,98;57,93;60,67;-1,49;-0,22;7,60;18,10;-12,53;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;156.911,68;5,23;0,42;-133,67;28.253.617.912,64
ALPA4;52,36;;125,46;10,02;6,35;53,23;13,11;6,98;66,74;60,67;-1,49;-0,22;8,75;20,86;-14,44;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;73.644.300,00;5,23;0,42;-153,99;28.253.617.912,64
ALPK3;7,92;;-7,30;2,50;0,56;24,13;-4,96;-36,79;-54,10;-105,30;-51,20;2,37;2,69;-3,07;-0,62;0,32;-34,25;-7,70;-1,38;0,22;0,77;0,21;;;261.022,48;3,17;-1,09;-0,02;1.542.418.003,76
ALSO3;28,10;0,81;69,77;1,13;0,69;65,03;30,24;13,99;32,27;34,79;2,51;0,09;9,76;5,36;-0,83;4,32;1,62;0,99;2,07;0,61;0,30;0,07;19,22;-0,15;49.112.367,08;24,80;0,40;6,58;7.468.215.061,80
ALUP11;26,61;3,16;7,18;1,28;0,33;60,24;58,47;16,65;2,04;3,94;1,90;1,19;1,20;4,68;-0,40;1,71;17,83;4,62;15,55;0,26;0,59;0,28;32,68;29,19;20.187.948,16;20,79;3,71;0,12;7.791.856.214,24
ALUP3;8,77;3,19;7,10;1,27;0,33;60,24;58,47;16,65;2,02;3,94;1,90;1,19;1,18;4,63;-0,40;1,71;17,83;4,62;15,55;0,26;0,59;0,28;32,68;29,19;201.749,60;6,93;1,24;0,11;7.791.856.214,24
ALUP4;8,95;3,13;7,24;1,29;0,33;60,24;58,47;16,65;2,06;3,94;1,90;1,19;1,21;4,73;-0,40;1,71;17,83;4,62;15,55;0,26;0,59;0,28;32,68;29,19;248.700,72;6,93;1,24;0,12;7.791.856.214,24
AMAR3;8,42;;;2,33;0,67;39,38;-12,13;0,00;-9,17;-14,16;-4,99;1,27;1,11;8,70;-1,36;1,18;0,00;0,00;-10,34;0,29;0,71;0,60;-7,53;;102.958.976,28;3,61;0,00;;2.218.933.946,72
AMBP3;43,94;0,21;74,22;4,00;2,55;21,92;18,24;8,14;33,10;31,81;-1,29;-0,16;6,04;9,68;-4,47;2,58;5,39;3,43;7,16;0,64;0,34;0,42;;;28.654.931,88;10,98;0,59;0,74;4.947.708.110,28
ANIM3;13,32;;180,48;2,10;1,08;52,20;12,99;1,99;27,63;28,85;1,21;0,09;3,59;3,94;-1,72;3,76;1,16;0,60;4,73;0,51;0,48;0,30;11,24;;35.269.422,32;6,34;0,07;-1,25;5.452.228.867,50
APER3;49,10;;4.270,26;1,95;1,26;100,00;-2,85;0,12;-180,38;-180,38;;;5,14;5,18;-1,94;3,28;0,05;0,03;;0,65;0,35;0,25;-11,42;;6.968.752,72;25,14;0,01;-40,30;565.166.996,82
APTI3;197,64;;0,07;0,01;0,01;50,30;486,77;396,44;0,06;0,75;0,04;0,01;0,28;0,05;-0,01;2,15;20,23;10,85;19,69;0,54;0,46;0,03;-22,74;84,17;;13.700,51;2.771,98;0,00;44.442.750,00
