TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;10,99;;-19,81;1,08;0,51;21,41;2,55;-6,71;52,04;74,48;22,54;0,47;1,33;22,44;-0,65;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;18.261.581,26;10,15;-0,55;0,03;1.291.757.550,72
ABCB4;15,05;6,17;9,36;0,77;0,07;13,55;8,97;8,56;8,93;8,92;;;0,80;1,08;-0,08;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;12.184.068,07;19,43;1,61;-0,45;3.373.264.560,56
ABEV3;17,53;2,80;21,37;3,36;2,07;52,95;27,05;20,69;16,35;15,49;-0,85;-0,17;4,42;53,28;-2,86;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;548.682.691,63;5,21;0,82;0,81;273.901.320.393,00
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;10,30;;65,97;7,97;2,84;10,82;8,71;4,61;34,92;38,02;2,87;0,66;3,04;6,68;-8,95;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;44.346.091,48;1,29;0,16;2,53;7.746.418.040,16
AESB3;13,75;1,24;;2,93;0,57;;;;;;;2,42;;9,96;-0,74;1,34;0,00;0,00;;0,19;0,81;0,00;;;10.921.350,89;4,69;0,00;;5.499.687.845,60
AFLT3;10,30;11,29;34,42;3,36;3,07;67,61;54,72;52,63;33,10;31,35;-1,76;-0,18;18,11;11,80;-4,28;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;27.265,04;3,07;0,30;-1,45;658.604.268,00
AGRO3;29,99;2,37;25,68;1,77;1,07;46,45;39,31;7,58;4,95;5,42;0,46;0,16;1,95;6,68;-1,87;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;24.085.384,59;16,91;1,17;-0,79;3.079.500.400,64
AHEB3;26,01;;-4,72;-8,87;0,79;19,18;-17,42;-25,58;-6,94;-6,55;0,50;;1,21;-3,94;-1,01;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;16.838,40;-2,93;-5,51;-0,06;225.693.756,27
AHEB5;21,51;;-3,91;-7,34;0,65;19,18;-17,42;-25,58;-5,74;-6,55;0,50;;1,00;-3,25;-0,84;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;2.151,00;-2,93;-5,51;-0,05;225.693.756,27
AHEB6;51,50;;-9,35;-17,57;1,56;19,18;-17,42;-25,58;-13,73;-6,55;0,50;;2,39;-7,79;-2,00;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;6.742,00;-2,93;-5,51;-0,11;225.693.756,27
ALLD3;33,72;;55,63;2,69;0,83;14,88;4,78;2,83;32,96;34,72;1,60;0,13;1,58;4,18;-3,13;1,37;4,84;1,48;5,79;0,31;0,69;0,52;;;18.572.192,04;12,52;0,61;;3.123.983.045,40
ALPA3;45,95;;110,10;8,79;5,58;53,23;13,11;6,98;58,57;61,12;-1,49;-0,22;7,68;18,30;-12,67;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;166.103,33;5,23;0,42;-135,14;28.465.160.721,00
ALPA4;52,51;;125,82;10,04;6,37;53,23;13,11;6,98;66,93;61,12;-1,49;-0,22;8,78;20,92;-14,48;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;75.254.558,96;5,23;0,42;-154,43;28.465.160.721,00
